---------------------------------------------------------------------------------------------------------------
  Module Name                             | Clock Name                             | Supported Frequencies(Hz) 
 * PMHAL_PRCM_MOD_TIMER11                 | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_TIMER11                 | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_TIMER11                 | PMHAL_PRCM_CLK_TIMER11_GFCLK           | 20000000, 10000000, 32786, 22579200, 451584000
 * PMHAL_PRCM_MOD_TIMER2                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_TIMER2                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_TIMER2                  | PMHAL_PRCM_CLK_TIMER2_GFCLK            | 20000000, 10000000, 32786, 22579200, 451584000
 * PMHAL_PRCM_MOD_TIMER3                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_TIMER3                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_TIMER3                  | PMHAL_PRCM_CLK_TIMER3_GFCLK            | 20000000, 10000000, 32786, 22579200, 451584000
 * PMHAL_PRCM_MOD_TIMER4                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_TIMER4                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_TIMER4                  | PMHAL_PRCM_CLK_TIMER4_GFCLK            | 20000000, 10000000, 32786, 22579200, 451584000
 * PMHAL_PRCM_MOD_TIMER9                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_TIMER9                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_TIMER9                  | PMHAL_PRCM_CLK_TIMER9_GFCLK            | 20000000, 10000000, 32786, 22579200, 451584000
 * PMHAL_PRCM_MOD_ELM                     | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
