---------------------------------------------------------------------------------------------------------------
  Module Name                             | Clock Name                             | Supported Frequencies(Hz) 
 * PMHAL_PRCM_MOD_PWMSS1                  | PMHAL_PRCM_CLK_L4PER2_L3_GICLK         | 266000000
 * PMHAL_PRCM_MOD_QSPI                    | PMHAL_PRCM_CLK_L4PER2_L3_GICLK         | 266000000
 * PMHAL_PRCM_MOD_QSPI                    | PMHAL_PRCM_CLK_QSPI_GFCLK              | 128000000, 64000000, 32000000
 * PMHAL_PRCM_MOD_L4_PER3                 | PMHAL_PRCM_CLK_L4PER3_L3_GICLK         | 266000000
 * PMHAL_PRCM_MOD_L4_PER3                 | PMHAL_PRCM_CLK_L4PER3_L4_GICLK         | 133000000
 * PMHAL_PRCM_MOD_DCC1                    | PMHAL_PRCM_CLK_L4PER3_L4_GICLK         | 133000000
 * PMHAL_PRCM_MOD_DCC2                    | PMHAL_PRCM_CLK_L4PER3_L4_GICLK         | 133000000
 * PMHAL_PRCM_MOD_DCC3                    | PMHAL_PRCM_CLK_L4PER3_L4_GICLK         | 133000000
 * PMHAL_PRCM_MOD_DCC4                    | PMHAL_PRCM_CLK_L4PER3_L4_GICLK         | 133000000
 * PMHAL_PRCM_MOD_VIP1                    | PMHAL_PRCM_CLK_VIP1_GCLK               | 266000000
 * PMHAL_PRCM_MOD_ISS                     | PMHAL_PRCM_CLK_ISS_GCLK                | 212800000
 * PMHAL_PRCM_MOD_DEBUG_LOGIC             | PMHAL_PRCM_CLK_DEBUG_ATB_CLK           | 266000000
 * PMHAL_PRCM_MOD_DEBUG_LOGIC             | PMHAL_PRCM_CLK_DEBUG_TREXCPT_CLK       | 384000000
 * PMHAL_PRCM_MOD_DEBUG_LOGIC             | PMHAL_PRCM_CLK_DEBUG_STMEXPT_CLK       | 193450000
 * PMHAL_PRCM_MOD_COUNTER_32K             | PMHAL_PRCM_CLK_FUNC_32K_CLK            | 32786
 * PMHAL_PRCM_MOD_COUNTER_32K             | PMHAL_PRCM_CLK_WKUPAON_GICLK           | 20000000
 * PMHAL_PRCM_MOD_CTRL_MODULE_WKUP        | PMHAL_PRCM_CLK_WKUPAON_GICLK           | 20000000
 * PMHAL_PRCM_MOD_DCAN1                   | PMHAL_PRCM_CLK_DCAN1_SYS_CLK           | 20000000, 22579200
 * PMHAL_PRCM_MOD_DCAN1                   | PMHAL_PRCM_CLK_WKUPAON_GICLK           | 20000000
 * PMHAL_PRCM_MOD_GPIO1                   | PMHAL_PRCM_CLK_WKUPAON_SYS_GFCLK       | 32786
 * PMHAL_PRCM_MOD_GPIO1                   | PMHAL_PRCM_CLK_WKUPAON_GICLK           | 20000000
 * PMHAL_PRCM_MOD_L4_WKUP                 | PMHAL_PRCM_CLK_WKUPAON_GICLK           | 20000000
 * PMHAL_PRCM_MOD_RTI1                    | PMHAL_PRCM_CLK_WKUPAON_GICLK           | 20000000
 * PMHAL_PRCM_MOD_RTI1                    | PMHAL_PRCM_CLK_RTI1_CLK                | 5000000, 5644800, 32786
 * PMHAL_PRCM_MOD_RTI2                    | PMHAL_PRCM_CLK_WKUPAON_GICLK           | 20000000
 * PMHAL_PRCM_MOD_RTI2                    | PMHAL_PRCM_CLK_RTI2_CLK                | 5000000, 5644800, 32786
 * PMHAL_PRCM_MOD_RTI3                    | PMHAL_PRCM_CLK_WKUPAON_GICLK           | 20000000
 * PMHAL_PRCM_MOD_RTI3                    | PMHAL_PRCM_CLK_RTI3_CLK                | 5000000, 5644800, 32786
 * PMHAL_PRCM_MOD_RTI4                    | PMHAL_PRCM_CLK_WKUPAON_GICLK           | 20000000
 * PMHAL_PRCM_MOD_RTI4                    | PMHAL_PRCM_CLK_RTI4_CLK                | 5000000, 5644800, 32786
 * PMHAL_PRCM_MOD_RTI5                    | PMHAL_PRCM_CLK_WKUPAON_GICLK           | 20000000
 * PMHAL_PRCM_MOD_RTI5                    | PMHAL_PRCM_CLK_RTI5_CLK                | 5000000, 5644800, 32786
 * PMHAL_PRCM_MOD_TIMER1                  | PMHAL_PRCM_CLK_TIMER1_GFCLK            | 20000000, 10000000, 32786, 22579200
 * PMHAL_PRCM_MOD_CAMERARX                | PMHAL_PRCM_CLK_PER_96M_GFCLK           | 96000000
 * PMHAL_PRCM_MOD_MCAN                    | PMHAL_PRCM_CLK_MCAN_CLK                | 80000000
 * PMHAL_PRCM_MOD_MCAN                    | PMHAL_PRCM_CLK_L4PER2_L3_GICLK         | 266000000
 * PMHAL_PRCM_MOD_ATL                     | PMHAL_PRCM_CLK_L4PER2_L3_GICLK         | 266000000
 * PMHAL_PRCM_MOD_MCASP2                  | PMHAL_PRCM_CLK_MCASP2_AHCLKR           | 20000000, 10000000, 24000000
 * PMHAL_PRCM_MOD_MCASP2                  | PMHAL_PRCM_CLK_MCASP2_AHCLKX           | 20000000, 10000000, 24000000
 * PMHAL_PRCM_MOD_MCASP2                  | PMHAL_PRCM_CLK_MCASP2_AUX_GFCLK        | 20000000, 10000000, 5000000, 2500000, 133000000
 * PMHAL_PRCM_MOD_MCASP3                  | PMHAL_PRCM_CLK_MCASP3_AHCLKR           | 20000000, 10000000, 24000000
 * PMHAL_PRCM_MOD_MCASP3                  | PMHAL_PRCM_CLK_MCASP3_AHCLKX           | 20000000, 10000000, 24000000
 * PMHAL_PRCM_MOD_MCASP3                  | PMHAL_PRCM_CLK_MCASP3_AUX_GFCLK        | 20000000, 10000000, 5000000, 2500000, 133000000
